"Registrant","Registration #","RegistrationDate","TerminationDate"
"Awad, Habib Joseph","348","03/22/1946","03/23/1947"
"Axelrod, Andrea G.","5339","11/01/1999","11/30/2000"
"Ayarza, Alfredo Miguel","1216","04/03/1959","12/01/1959"
"Ayarza, Alfredo Miguel","1391","09/14/1960","02/05/1963"
"Aylin Advertising Agency, Inc.","2131","04/30/1969","04/30/1970"
"Azerbaijan America Alliance Corporation","6046","06/07/2011","12/31/2012"
"Azerbaijan Study Foundation","4964","10/14/1994","04/30/1996"
"B&C Associates, Inc.","3142","08/26/1980","01/11/1982"
"B&C International, Inc.","3141","08/26/1980","01/11/1982"
"B.M. Lawrence & Company","2211","10/06/1970","07/01/1972"
"B2 Communications","3725","08/26/1985","05/09/1986"
"BBA, Inc.","4213","02/03/1989","03/09/1993"
"BBDO International, Inc.","1500","12/12/1961","06/30/1963"
"BG Consulting, Inc.","5505","06/26/2002","06/30/2003"
"BGR Government Affairs, LLC","5430","05/10/2001",""
"BGR Public Relations, LLC","5973","01/22/2010","02/01/2012"
"BKSH & Associates","5402","12/14/2000","12/31/2009"
"BLJ Worldwide LTD","5875","06/17/2008","03/31/2023"
"BMW Government Relations LLC","7258","04/16/2023","04/30/2023"
"BT North America, Inc., Washington Office","4566","09/18/1991","01/01/1996"
"BW GLOBAL GROUP, LLC.","6935","03/10/2021","03/03/2022"
"BZS/Capitol Strategies, L.P.","4252","05/12/1989","12/29/1989"
"Baar, Bennett & Fullen","946","04/17/1956","10/17/1961"
"Baar, Bennett & Fullen","712","01/25/1952","02/27/1953"
"Babones, Salvatore Jason","6860","08/27/2020","09/01/2020"
"Babyak, Michael","7131","06/26/2022","12/31/2022"
"Bachner Group LLC","7271","05/12/2023",""
"Bacskai, Bela Harsany","1471","08/11/1961","05/22/1969"
"Baczynski, Wlodzimierz Jan","324","10/05/1945","10/05/1945"
"Baenen, Richard Anthony","3853","07/10/1986","11/01/1991"
"Baez, Amado Alejandro","7292","07/11/2023",""
"Baff, William E.","1223","05/01/1959","05/01/1959"
"Bahamas Tourist Office","2310","01/27/1972",""
"Bailey Strategic Advisors, LLC","7171","09/21/2022","09/27/2022"
"Bailey, Kingsley","4775","03/04/1993","09/30/1993"
"Bain & Associates, Inc.","5205","09/04/1997","03/31/1998"
"Bakalov, Stoyan I.","5417","03/21/2001","09/30/2002"
"Baker & Botts","2833","10/05/1977","12/30/1977"
"Baker & Daniels","4375","05/07/1990","02/28/1991"
"Baker & Hartel, Inc.","2273","08/06/1971","02/11/1974"
"Baker & Hostetler","3002","03/05/1979","10/06/1980"
"Baker & Hostetler","4371","04/30/1990","10/31/1996"
"Baker & Hostetler LLP","6966","05/27/2021",""
"Baker & Hostetler, LLP","5599","01/26/2004","07/31/2005"
"Baker & McKenzie","6821","05/08/2020","11/30/2023"
"Baker & McKenzie","3574","04/17/1984","11/14/1985"
"Baker & McKenzie","4591","11/12/1991","06/30/1998"
"Baker & McKenzie, LLP","5547","03/24/2003","12/31/2003"
"Baker Botts L.L.P.","4293","09/15/1989","09/30/2003"
"Baker Botts, LLP","6464","09/15/2017","10/12/2018"
"Baker Donelson Bearman Caldwell & Berkowitz, PC","5678","03/31/2005","07/01/2007"
"Baker, Donelson, Bearman & Caldwell","5274","09/17/1998","09/30/2002"
"Baker, Donelson, Bearman, Caldwell & Berkowitz, P.C.","6535","03/05/2018","12/31/2024"
"Baker, Harold G.","224","12/11/1943","10/01/1945"
"Baker, Nelson, Williams & Mitchell","1714","04/15/1964","10/15/1966"
"Baker, Worthington, Crossley, Stansberry & Woolf","4397","07/12/1990","08/17/1994"
"Baldwin & Mermey","475","07/01/1947","05/04/1948"
"Baldwin Communications Group","4744","09/03/1992","07/12/1993"
"Ball, Hunt, Hart, Brown & Baerwitz, Attorneys at Law","2265","06/10/1971","07/01/1972"
"Ball, Janik & Novack","4230","03/28/1989","03/31/1991"
"Ball, W. Allen","3363","04/22/1982","08/17/1983"
"Ballard Partners","6415","04/05/2017","02/06/2021"
"Ballard Partners","7070","01/13/2022",""
"Balsera Communications","6835","06/13/2020","01/31/2021"
"Banach, Francis-Louis Edward","57","07/20/1942","01/20/1945"
"Bancroft Group, Limited Partnership","4326","12/26/1989","12/30/1993"
"Banda, Francisco C.","626","06/05/1950","10/01/1950"
"Banda, Thokozani Manyika","4859","08/17/1993","02/28/1995"
"Bangladesh Mission, New York","2262","06/09/1971","11/05/1972"
"Bangladesh Mission, Washington, D.C.","2276","08/30/1971","05/18/1972"
"Bankers Capital Management, Inc.","4044","09/29/1987","03/31/1990"
"Bannerman & Associates, Inc.","3964","04/28/1987","02/28/2007"
"Baraka Services","5602","02/24/2004","02/24/2004"
"Barbados Investment & Development Corp. Barbados Tourism","1995","11/30/1966","11/30/2018"
"Barbados Labor Party Committee of North America","3803","03/26/1986","09/26/1991"
"Barbara Burns & Associates, Inc.","4600","12/06/1991","03/21/2003"
"Barber & Baar Associates, Inc.","1715","04/20/1964","05/24/1967"
"Barbosa, Ernesto S.","1114","02/12/1958","02/12/1960"
"Barbour Griffith & Rogers","5146","12/19/1996","12/31/1999"
"Barken, Aaron H.","1785","09/01/1964","06/22/1967"
"Barken, Aaron H.","1607","03/11/1963","08/12/1963"
"Barker, Mearns & Gill Public Relations","4977","12/05/1994","12/05/1994"
"Barkett, Mitchell","2436","06/18/1973","12/18/1982"
"Barnes & Thornburg","4785","03/31/1993","04/25/1995"
"Barnes & Thornburg","5239","03/02/1998","11/18/1999"
"Barnes & Thornburg","5723","09/22/2005","03/31/2006"
"Barnes & Thornburg LLP","6594","09/24/2018",""
"Barnes & Thornburg, LLP","6247","08/28/2014","12/31/2015"
"Barnes & Thornburg, LLP","6417","04/14/2017","10/31/2017"
"Barnes, James M.","660","02/20/1951","02/20/1953"
"Barnes, Richardson & Colburn","2751","02/10/1977","02/10/1998"
"Barnet & Reef Associates, Inc.","1378","07/15/1960","07/15/1965"
"Barnett & Alagia","3614","09/20/1984","01/22/1986"
"Barnett Group, LLC","5622","05/13/2004","11/30/2004"
"Barnett, John","6637","02/12/2019","02/28/2022"
"Barnett, Vincent Gerrard","1992","10/31/1966","01/09/1974"
"Barnett, Yingling & Shay, P.C.","3070","11/19/1979","07/16/1980"
"Barnett, Yingling & Shay, P.C.","3136","08/08/1980","05/27/1982"
"Barnicle, Peter Joseph","646","10/20/1950","04/07/1952"
"Baron Public Affairs, LLC","6418","04/16/2017","07/31/2017"
"Baron/Canning & Company, Inc.","2270","07/23/1971","07/31/1990"
"Barres, Philippe","202","08/03/1943","02/03/1944"
"Barrett Jr., Michael F.","4582","10/30/1991","04/10/1992"
"Barrett, Smith, Schapiro, Simon & Armstrong","3515","08/26/1983","10/01/1985"
"Barron, Arnaldo Goenaga","1207","03/06/1959","03/06/1959"
"Barron-Birrell, Inc.","5363","12/09/1997","12/31/2006"
"Barron-Birrell, Inc.","4729","11/02/1992","11/30/1996"
"Barros, Miquel Fernandez","7197","11/29/2022",""
"Barry, Frank M.","992","01/03/1957","01/22/1974"
"Barsukov, Jury V.","1352","04/08/1960","04/08/1963"
"Barsukov, Yuri V.","1987","08/31/1966","10/19/1971"
"Bartlett & Partners, Inc.","1145","06/04/1958","04/30/1973"
"Barton, Richard Leon","3218","03/27/1981","03/27/1981"
"Bartucci-Samuel, Inc.","3909","11/21/1986","12/12/1988"
"Barwari, Delovan","6772","12/20/2019","12/20/2019"
"Basham, M.R.","269","06/26/1944","06/26/1944"
"Bashkortostan Trade Mission","4731","11/05/1992","05/31/2003"
"Bashore, Judy Campbell","3280","10/06/1981","06/30/1983"
"Basilinna Advisory LLC","7515","01/10/2025",""
"Basis Global Technologies, Inc.","7304","08/03/2023",""
"Baskin & Sears, P.C.","3184","01/06/1981","01/07/1985"
"Basque Delegation in the U.S.A.","586","08/09/1949","02/09/1963"
"Basta-Musil & Company, Inc.","1009","03/13/1957","03/17/1960"
"Basti Associates","2913","06/12/1978","06/12/1978"
"Bastien, Goldstein, & Blackthorne Group (BGB Group)","6206","01/21/2014","01/21/2014"
"Batra, Ravi","6592","09/14/2018","04/06/2020"
"Batten, Barton, Durstine & Osborn, Inc.","1104","01/13/1958","08/08/1966"
"Baukhage, H.R.","1527","03/16/1962","04/30/1962"
"Bavarian Council","185","08/05/1943","10/05/1944"
"Bavarian Ministry for Economic Affairs, Infrastructure, Transport and Technology","5647","09/29/2004","12/31/2010"
"Bavarian Office for Trade, Investment, Research and Technology","5381","09/01/2000","12/31/2005"
"Bavarian U.S. Offices for Economic Development, LLC","6015","01/07/2011",""
"Bayaziddi, Salah","6595","09/27/2018",""
"Baydalakoff, Victor","499","11/12/1947","11/12/1948"
"Bayh, Connaughton, Fensterheim & Malone, P.C.","4606","01/13/1992","08/31/1993"
"Baytan, Ihsan","6395","11/30/2016","12/18/2018"
"Beach, Rex M.S.","1044","07/03/1957","10/28/1958"
"Beacon Policy Advisors LLC","6658","04/09/2019",""
"Beall, Waldon W.","5521","10/08/2002","11/09/2011"
"Beasley, Peter","809","01/04/1954","07/04/1956"
"Beaumet, Charles Theodore","1135","04/21/1958","04/21/1958"
"Beck, P.A.","191","05/14/1943","05/14/1943"
"Becker & Poliakoff","7089","03/07/2022",""
"Becker, Brett G.","4176","09/13/1988","12/31/1988"
"Becker, Ralph E.","2253","04/13/1971","09/21/1976"
"Becker, Ralph E.","1932","10/21/1965","07/15/1968"
"Beckerman","5877","08/14/2008","07/31/2018"
"Beckett, William C.","4196","12/09/1988","12/31/1992"
"Beckles, Alexander","6701","07/16/2019","11/15/2019"
"Beckman & Kirstein","3505","08/05/1983","09/03/1985"
"Beckman, Robert M.","2871","03/24/1978","03/28/1978"
"Bee Moua","3311","11/27/1981","07/09/1993"
"Beef + Lamb New Zealand, Ltd.","2526","07/08/1974",""
"Beeson, Caroline J.","3565","03/13/1984","01/18/1985"
"Begin, Menachem","1024","05/15/1957","05/15/1957"
"Begin, Menachem","551","12/28/1948","12/28/1948"
"Behrend, Jane S.","6902","12/30/2020",""
"Behrens, Bertram S.","3194","01/28/1981","03/29/1983"
"Belch, Donald K.","3555","01/27/1984","01/27/1996"
"Beleff, Guiontcho","378","10/14/1946","10/14/1946"
"Belgian Chamber of Commerce in the U.S., Inc.","835","07/06/1954","06/09/1969"
"Belgian Government Information Center","405","12/02/1946","11/25/1969"
"Belgian Industrial Information Service","1370","06/13/1960","02/26/1965"
"Belgian National Tourist Office","529","06/17/1948","12/31/2016"
"Belgo-American Development Corporation","1501","12/18/1961","03/04/1969"
"Beliaev, Anatoli A.","2142","06/11/1969","01/20/1972"
"Belin, Harris, Helmick, Lamson, McCormick, P.C.","4478","02/28/1991","10/08/1991"
"Bell & Stanton, Inc.","1827","12/04/1964","08/12/1966"
"Bell & Stanton, Inc.","2054","10/06/1967","05/17/1973"
"Bell Pottinger USA, Inc.","6056","08/12/2011","10/31/2011"
"Bell, Bernard R.","931","02/27/1956","02/27/1960"
"Bell, Linda Jane","3219","03/27/1981","06/21/1988"
"Bell, Linda Jane","3024","05/21/1979","06/24/1980"
"Bell, Linda Jane","2516","06/06/1974","03/18/1976"
"Bell, Linda Jane","3096","03/31/1980","11/04/1980"
"Bell, Linda Jane","2143","06/16/1969","06/05/1972"
"Bell, Linda Jane","2793","06/17/1977","09/08/1978"
"Belleau, Wilfrid E.","409","06/10/1944","12/10/1960"
"Bellwether Strategies, Inc.","6382","10/04/2016","05/31/2017"
"Beltway Government Strategies Inc.","6225","06/02/2014","09/30/2014"
"Belvedere Strategies","6360","06/14/2016","12/31/2016"
"Ben Barnes Group","7250","03/28/2023",""
"Ben Barnes Group","6322","10/08/2015","06/01/2016"
"Ben Barnes Group","6264","12/03/2014","06/12/2015"
"Ben-Zevie, Isaac","552","12/29/1948","12/29/1948"
"Benagh, Charles","3031","06/15/1979","09/05/1980"
"Benchmarks, Inc.","3852","07/09/1986","08/12/1987"
"Benford Associates, Inc.","4224","03/13/1989","03/31/1999"
"Benford Associates, Inc.","3703","07/24/1985","08/26/1986"
"Beni Productions LLC","7549","02/28/2025",""
"Benitez Strategies","6914","01/23/2021","02/28/2021"
"Benjamin, Gordon Christopher","6482","10/31/2017","01/18/2024"
"Benkin, Richard L.","5708","09/07/2005","03/31/2006"
"Benner, Burnett & Coleman","3654","03/07/1985","07/06/1989"
"Bennett Associates, Inc.","1140","05/08/1958","07/08/1969"
"Bennett Public Relations, Inc.","2345","06/26/1972","03/14/1973"
"Bennett Tours, Inc.","1260","08/28/1959","03/02/1960"
"Bennett, Newbery & Cowan","2017","03/22/1967","03/23/1968"
"Bentley, Barnes & Lynn, Inc.","3127","07/25/1980","08/27/1981"
"Bentley, Marcia G.","1736","05/19/1964","07/02/1964"
"Berardi, Amato Libero","5853","02/21/2008","02/28/2013"
"Berger Hirschberg Strategies, LLC","6917","01/26/2021","09/30/2021"
"Berger, Olson & Beaumont, Inc.","2306","01/17/1972","01/16/1974"
"Bergman, Jules","727","05/22/1952","05/22/1952"
"Bergner Bockorny, Inc.","3801","03/20/1986","03/20/2001"
"Berk, Peggy","5124","07/31/1996","07/31/1996"
"Berkanovic, Edward T.","1809","10/29/1964","05/06/1965"
"Berke, Anita Diamant","1794","09/24/1964","09/24/1964"
"Berkhemer Kline/Golin Harris","3952","03/24/1987","07/18/1989"
"Berkman Law Office, LLC","6703","07/22/2019","07/22/2019"
"Berkowitz, Boyar & Higgins","2948","08/22/1979","09/05/1980"
"Berlanti Overseas Corporation","1380","07/19/1960","07/15/1961"
"Berlanti, Louis J.","1393","09/22/1960","03/22/1961"
"Berle Jr., A.A.","432","01/03/1947","08/01/1950"
"Berlin, Mortimer A.","2907","06/05/1978","08/06/1979"
"BerlinRosen Ltd.","6531","03/07/2018","09/26/2018"
"BerlinRosen, Ltd.","6791","02/06/2020","02/06/2020"
"Berliner & Maloney","3251","06/24/1981","07/14/1982"
"Berliner Corcoran & Rowe, LLP","5299","02/02/1999",""
"Berliner, Candon & Jimison, PC","5513","06/26/2002","12/11/2002"
"Berliner, Corcoran & Rowe","3512","08/22/1983","08/25/1993"
"Berlinrut, E.B.","2356","07/17/1972","11/21/1972"
"Berman Enterprises","5552","04/10/2003","10/31/2003"
"Berman, Karen","2588","06/09/1975","06/14/1976"
"Berman/Godek Communications, Inc.","4394","07/05/1990","12/31/1992"
"Bermuda Tourism Authority","430","01/30/1947",""
"Bernard Preyer Company","96","08/14/1942","02/14/1945"
"Bernard Relin & Associates, Inc.","1225","05/11/1959","11/11/1959"
"Bernard Relin Associates","359","05/27/1946","06/27/1952"
"Bernays, Edward L.","690","10/25/1951","04/26/1952"
"Berndtson, Arthur H.","2983","12/05/1978","06/09/1981"
"Bernenguer, John","1179","10/09/1958","10/09/1958"
"Bernhagen & Associates","3992","06/15/1987","03/31/2000"
"Bernie Klein Technical Advertising, Inc.","1737","05/19/1964","11/28/1966"
"Bernstein Law Firm, PLLC","4764","02/08/1993","02/28/2005"
"Bernstein, George K.","4269","07/12/1989","01/31/1991"
"Bernstone, Lawrence Jesse","1347","03/29/1960","06/09/1960"
"Berris, Marvin Lou","7114","05/10/2022","11/30/2022"
"Berry, Max N.","2216","10/30/1970","12/31/2010"
"Bershtein, David A.","3277","09/23/1981","10/06/1983"
"Berti, Guiseppe","320","09/14/1945","09/14/1945"
"Bertram, Fred","1950","12/30/1965","10/02/1966"
"Betancourt, Ernesto F.","1055","08/01/1957","01/01/1959"
"Betancourt, Ernesto F.","1644","07/08/1963","08/12/1963"
"Beveridge & Diamond, P.C.","3772","01/31/1986","08/27/1987"
"Beveridge & Diamond, P.C.","4323","12/07/1989","08/28/1990"
"Beveridge & Diamond, P.C.","4270","07/17/1989","12/13/1989"
"Beveridge, Fairbanks & Diamond","2547","11/22/1974","03/31/1977"
"Beveridge, Fairbanks & Diamond","2939","08/04/1978","07/09/1979"
"Beveridge, Kraus, Robbins & Manning, Inc.","2382","09/25/1972","11/08/1975"
"Beverly, James E.","2629","11/18/1975","11/18/1975"
"Beyer-Pedersen, Svend-Aage","311","07/25/1945","07/25/1945"
"Bharat Barai","7214","01/06/2023","01/06/2023"
"Biaiek, Robert W.","1634","05/21/1963","05/21/1963"
"Bialkin, Kenneth J.","2931","07/20/1978","02/23/1979"
"Biederman & Company, Inc.","3540","12/06/1983","12/31/1988"
"Biederman, Kelly & Shaffer, Inc.","5159","03/03/1997","03/31/1998"
"Biegel Group, Inc.","5746","04/18/2006","07/30/2006"
"Bienstock, Natalie Anna","1804","10/19/1964","10/19/1964"
"Bijan Adam Sepasy - Access U.S.A., Inc.","4560","09/03/1991","08/12/1992"
"Bikel, Ofra","1931","10/14/1965","01/24/1966"
"Bilanow, Kazimierz","3237","05/07/1981","06/08/1982"
"Bildersee Public Relations, Inc.","2058","10/24/1967","11/27/1967"
"Bill Hecht & Associates, Inc.","3445","02/18/1983","03/31/1985"
"Bill Kofoed, Inc.","3622","10/19/1984","05/08/1985"
"Bill Kofoed, Inc.","3077","12/18/1979","07/12/1983"
"Billig, Sher & Jones, P.C.","3279","10/06/1981","04/07/1986"
"Billington, Glenn","2874","03/28/1978","04/22/1980"
"Bipartizan Solutions Inc.","7209","12/23/2022","05/31/2023"
"Birch, Horton, Bittner, Inc.","4742","12/23/1992","07/27/1993"
"Birdsall, Voss & Associates, Inc. (""BVK"")","7147","07/27/2022","07/27/2022"
"Birdseye, William S.","4656","04/28/1992","11/30/1992"
"Birdwell, Russell J.","220","11/01/1943","11/01/1944"
"Birenbaum, David E.","2960","10/02/1978","11/13/1978"
"Birnbaum, Martin T.","1252","08/10/1959","10/08/1960"
"Bisceglie & Walsh","5575","08/14/2003","02/28/2005"
"Bishop, Bryant & Associates, Inc.","3675","05/13/1985","08/25/1988"
"Bishop, Cook, Purcell & Reynolds","3050","08/17/1979","02/17/1991"
"Bishopric, Green & Fielden, Inc.","1855","02/12/1965","09/08/1965"
"Bisnow, Mark C.","4306","10/12/1989","04/30/1991"
"Bitar, Janet M.","5863","05/02/2008","11/24/2009"
"Black Bag LLC","6838","06/17/2020","06/17/2020"
"Black Eagle Associates, Inc.","767","05/21/1953","05/21/1954"
"Black Eagle International Associates, Inc.","2104","09/09/1968","09/09/1968"
"Black, Helen","6","07/06/1942","09/11/1951"
"Black, Kelly, Scruggs & Healey","3600","06/14/1984","12/14/1999"
"Black, Manafort & Stone, Inc.","3415","10/05/1982","05/06/1985"
"Black, Manafort, Stone & Atwater, Inc.","3710","07/30/1985","02/26/1986"
"BlackBear Communications","5952","09/24/2009","10/01/2009"
"BlackSummit Capital LLC","7424","06/17/2024",""
"Blackwood International Strategic Advisors, LLC","7542","02/18/2025",""
"Blake, Victor H.","4753","01/14/1993","07/31/1995"
"Blank Rome Government Relations, LLC","6025","12/03/2010","12/31/2014"
"Blank Rome, LLP","4929","07/22/1994","01/31/2013"
"Blatchford, Epstein & Brady","3160","10/31/1980","05/25/1984"
"Blaustein Associates, Ltd.","2956","09/14/1978","03/12/1984"
"Blaze Partners, LLC","6818","04/27/2020","12/31/2021"
"Blinderman, Eric","7401","05/01/2024","05/01/2024"
"Bloch, Henry S.","1602","02/28/1963","10/05/1967"
"Bloemer, Dr. Klaus","1780","08/19/1964","08/19/1964"
"Bloomfield Associates, Inc.","5302","02/22/1999","02/01/2003"
"Bloomfield, Douglas M.","4308","10/18/1989","10/18/1989"
"Blue Crab Strategies LLC","7027","10/18/2021","08/31/2023"
"Blue Mountain Solutions, LLC","6288","04/13/2015","10/31/2015"
"Blue Star Strategies, LLC","7380","03/07/2024","09/30/2024"
"Blue Star Strategies, LLC","5980","03/16/2010","03/31/2011"
"Blue Star Strategies, LLC","6587","09/06/2018","05/12/2022"
"Blue Star Strategies, LLC","6083","12/22/2011","06/30/2012"
"BlueFront Strategies, LLC","6466","09/15/2017","10/01/2017"
"Blueprint Advisors LLC","6561","06/01/2018",""
"Blueprint Communications, LLC","6451","08/08/2017","09/17/2017"
"Blueprint Communications, LLC","6844","07/15/2020","11/30/2022"
"Bluetext, LLC","6693","06/25/2019","11/30/2021"
"Bluetext, LLC","6546","04/25/2018","12/31/2018"
"Blum, Robert J.","1801","10/15/1964","09/05/1967"
"Blumenfeld, Kurt","30","07/09/1942","01/09/1945"
"Boasberg Valentine-Radford, Inc.","4492","04/01/1991","10/31/1991"
